File Path,Metadata
C:/Users/Drew/Documents\09_dealnews_w_pacb190_Vfx7IbmzN8M2YdXnCvLK2Q.pdf,"{'mode': 33206, 'ino': 562949954091374, 'dev': 3665572388, 'nlink': 1, 'uid': 0, 'gid': 0, 'size': 25411846, 'access_time': '2023-12-30 16:36:40', 'modify_time': '2023-10-02 08:57:01', 'create_time': '2023-11-12 12:34:04', 'Title': 'Mastering Linux Security and Hardening', 'Creator': 'Issued to TradePub .com - (msiebert@netline.com)', 'Author': 'Donald A. Tevault', 'Producer': 'FPDF 1.86', 'Subject': 'Security', 'Full': {'/Producer': 'FPDF 1.86', '/Title': 'Mastering Linux Security and Hardening', '/Keywords': 'Linux book; Linux Security; Vulnerabilities; Attackers; Hackers; Linux Servers; Linux Administration; Linux Operating System; Linux Security and Hardening; SSH; Network Security; File system Security; Previously defined Encryption; Firewalls', '/Subject': 'Security', '/Author': 'Donald A. Tevault', '/Creator': 'Issued to TradePub .com - (msiebert@netline.com)', '/CreationDate': ""D:20230924063227+00'00'""}}"
C:/Users/Drew/Documents\1649860380591.pdf,"{'mode': 33206, 'ino': 562949954091375, 'dev': 3665572388, 'nlink': 1, 'uid': 0, 'gid': 0, 'size': 2687733, 'access_time': '2023-12-30 16:37:03', 'modify_time': '2023-10-05 14:48:54', 'create_time': '2023-11-12 12:34:04', 'Creator': 'Adobe InDesign 16.0 (Macintosh)', 'ModDate': ""D:20210118091950-06'00'"", 'Producer': 'Adobe PDF Library 15.0', 'Full': {'/CreationDate': ""D:20210118091943-06'00'"", '/Creator': 'Adobe InDesign 16.0 (Macintosh)', '/ModDate': ""D:20210118091950-06'00'"", '/Producer': 'Adobe PDF Library 15.0', '/Trapped': '/False'}}"
C:/Users/Drew/Documents\Andrew_murphy_scolarite.pdf,"{'mode': 33206, 'ino': 281474977380720, 'dev': 3665572388, 'nlink': 1, 'uid': 0, 'gid': 0, 'size': 861694, 'access_time': '2023-12-30 16:35:35', 'modify_time': '2023-10-11 10:15:45', 'create_time': '2023-11-12 12:34:04', 'Title': 'Print snip', 'Creator': 'PScript5.dll Version 5.2.2', 'Author': 'Drew', 'ModDate': ""D:20231011101544+02'00'"", 'Producer': 'GPL Ghostscript 9.06', 'Full': {'/Producer': 'GPL Ghostscript 9.06', '/CreationDate': ""D:20231011101544+02'00'"", '/ModDate': ""D:20231011101544+02'00'"", '/Title': 'Print snip', '/Creator': 'PScript5.dll Version 5.2.2', '/Author': 'Drew'}}"
C:/Users/Drew/Documents\BNP contacts.xlsx,"{'mode': 33206, 'ino': 5066549581245532, 'dev': 3665572388, 'nlink': 1, 'uid': 0, 'gid': 0, 'size': 27534, 'access_time': '2023-12-30 16:35:35', 'modify_time': '2023-12-06 16:27:42', 'create_time': '2023-12-06 16:28:27', 'created': datetime.datetime(2023, 12, 30, 15, 40, 26, 977717), 'modified': datetime.datetime(2023, 12, 30, 15, 40, 26, 977717), 'Full': {'created': datetime.datetime(2023, 12, 30, 15, 40, 26, 977717), 'idx_base': 0, 'modified': datetime.datetime(2023, 12, 30, 15, 40, 26, 977717), 'namespace': 'http://schemas.openxmlformats.org/package/2006/metadata/core-properties', 'tagname': 'coreProperties'}}"
C:/Users/Drew/Documents\ComfyUI_windows_portable_nvidia_cu121_or_cpu.7z,Unsupported file type
C:/Users/Drew/Documents\firepwd-master.zip,Unsupported file type
"C:/Users/Drew/Documents\Mohammed Moreb - Practical Forensic Analysis of Artifacts on iOS and Android Devices_ Investigating Complex Mobile Devices (2022, Apress) - libgen.li.pdf","{'mode': 33206, 'ino': 281474977380721, 'dev': 3665572388, 'nlink': 1, 'uid': 0, 'gid': 0, 'size': 20055786, 'access_time': '2023-12-30 16:35:35', 'modify_time': '2023-10-05 20:02:29', 'create_time': '2023-11-12 12:34:04', 'Creator': 'PDF-XChange Editor 9.2.359', 'ModDate': ""D:20220416142552-07'00'"", 'Producer': 'PDF-XChange Core API SDK (9.2.359)', 'Full': {'/CreationDate': ""D:20220416142527-07'00'"", '/Creator': 'PDF-XChange Editor 9.2.359', '/ModDate': ""D:20220416142552-07'00'"", '/Producer': 'PDF-XChange Core API SDK (9.2.359)'}}"
"C:/Users/Drew/Documents\Oleg Skulkin, Donnie Tindall, Rohit Tamma - Learning Android Forensics_ Analyze Android Devices With The Latest Forensic Tools And Techniques 2nd Ed. (2018, Packt Publishing) - libgen.li.pdf","{'mode': 33206, 'ino': 281474977380722, 'dev': 3665572388, 'nlink': 1, 'uid': 0, 'gid': 0, 'size': 18486960, 'access_time': '2023-12-30 16:39:01', 'modify_time': '2023-10-05 19:52:07', 'create_time': '2023-11-12 12:34:04', 'ModDate': ""D:20181221203302+05'30'"", 'Producer': 'mPDF 6.0', 'Full': {'/CreationDate': 'D:20181221145705Z', '/ModDate': ""D:20181221203302+05'30'"", '/Producer': 'mPDF 6.0'}}"
C:/Users/Drew/Documents\stable-diffusion-webui-1.0.0-pre.zip,Unsupported file type
"C:/Users/Drew/Documents\[Studies in Big Data, 116] Nhien-An Le-Khac, Kim-Kwang Raymond Choo - A Practical Hands-on Approach to Database Forensics (2022, Springer) - libgen.li.pdf","{'mode': 33206, 'ino': 1407374884223334, 'dev': 3665572388, 'nlink': 1, 'uid': 0, 'gid': 0, 'size': 13814953, 'access_time': '2023-12-30 16:35:35', 'modify_time': '2023-10-04 20:35:30', 'create_time': '2023-11-12 12:34:04', 'Title': 'A Practical Hands-on Approach to Database Forensics', 'Creator': 'Springer', 'Author': 'Janusz Kacprzyk', 'ModDate': ""D:20221019064601-07'00'"", 'Producer': 'Springer-i', 'Full': {'/Author': 'Janusz Kacprzyk', '/CreationDate': ""D:20221019184200+05'30'"", '/Creator': 'Springer', '/ModDate': ""D:20221019064601-07'00'"", '/Producer': 'Springer-i', '/Title': 'A Practical Hands-on Approach to Database Forensics'}}"
